,movie,year,imdb,metascore,votes,n_imdb
0,Fight Club,1999,8.8,66,1637845,88.0
1,The Matrix,1999,8.7,73,1469235,87.0
2,The Green Mile,1999,8.5,61,984611,85.0
3,American Beauty,1999,8.4,86,972401,84.0
4,The Sixth Sense,1999,8.1,64,829214,81.0
5,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,640660,65.0
6,Toy Story 2,1999,7.9,88,457713,79.0
7,The Mummy,1999,7.0,48,361179,70.0
8,American Pie,1999,7.0,58,347217,70.0
9,Sleepy Hollow,1999,7.4,65,301658,74.0
10,Being John Malkovich,1999,7.8,90,285177,78.0
11,Eyes Wide Shut,1999,7.4,68,267429,74.0
12,Magnolia,1999,8.0,77,266601,80.0
13,10 Things I Hate About You,1999,7.3,70,263771,73.0
14,Notting Hill,1999,7.1,66,239699,71.0
15,Office Space,1999,7.8,68,223410,78.0
16,The Boondock Saints,1999,7.8,44,214998,78.0
17,The Blair Witch Project,1999,6.4,81,213704,64.0
18,Austin Powers: The Spy Who Shagged Me,1999,6.6,59,200898,66.0
19,Dogma,1999,7.3,62,196355,73.0
20,Big Daddy,1999,6.4,41,182201,64.0
21,"South Park: Bigger, Longer & Uncut",1999,7.8,73,179759,78.0
22,Tarzan,1999,7.3,79,176791,73.0
23,The World Is Not Enough,1999,6.4,57,173661,64.0
24,Cruel Intentions,1999,6.8,56,165842,68.0
25,The Talented Mr. Ripley,1999,7.4,76,158802,74.0
26,The Iron Giant,1999,8.0,85,153798,80.0
27,The Ninth Gate,1999,6.7,44,152073,67.0
28,Three Kings,1999,7.1,82,151109,71.0
29,The Insider,1999,7.9,84,147833,79.0
30,"Girl, Interrupted",1999,7.4,51,144559,74.0
31,Wild Wild West,1999,4.9,38,142825,49.0
32,The Bone Collector,1999,6.7,45,139181,67.0
33,Galaxy Quest,1999,7.3,70,136410,73.0
34,Analyze This,1999,6.7,61,136390,67.0
35,The Virgin Suicides,1999,7.2,76,132424,72.0
36,Payback,1999,7.1,46,123375,71.0
37,Man on the Moon,1999,7.4,58,115125,74.0
38,8MM,1999,6.5,19,114523,65.0
39,Deep Blue Sea,1999,5.8,54,113820,58.0
40,Stuart Little,1999,5.9,61,112301,59.0
41,The 13th Warrior,1999,6.6,42,109603,66.0
42,Any Given Sunday,1999,6.9,52,105556,69.0
43,Bicentennial Man,1999,6.9,42,100697,69.0
44,Entrapment,1999,6.3,54,99047,63.0
45,End of Days,1999,5.7,33,98794,57.0
46,The Cider House Rules,1999,7.4,75,87183,74.0
47,Fight Club,1999,8.8,66,1637845,88.0
48,The Matrix,1999,8.7,73,1469235,87.0
49,The Green Mile,1999,8.5,61,984611,85.0
50,American Beauty,1999,8.4,86,972401,84.0
51,The Sixth Sense,1999,8.1,64,829214,81.0
52,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,640660,65.0
53,Toy Story 2,1999,7.9,88,457713,79.0
54,The Mummy,1999,7.0,48,361179,70.0
55,American Pie,1999,7.0,58,347217,70.0
56,Sleepy Hollow,1999,7.4,65,301658,74.0
57,Being John Malkovich,1999,7.8,90,285177,78.0
58,Eyes Wide Shut,1999,7.4,68,267429,74.0
59,Magnolia,1999,8.0,77,266601,80.0
60,10 Things I Hate About You,1999,7.3,70,263771,73.0
61,Notting Hill,1999,7.1,66,239699,71.0
62,Office Space,1999,7.8,68,223410,78.0
63,The Boondock Saints,1999,7.8,44,214998,78.0
64,The Blair Witch Project,1999,6.4,81,213704,64.0
65,Austin Powers: The Spy Who Shagged Me,1999,6.6,59,200898,66.0
66,Dogma,1999,7.3,62,196355,73.0
67,Big Daddy,1999,6.4,41,182201,64.0
68,"South Park: Bigger, Longer & Uncut",1999,7.8,73,179759,78.0
69,Tarzan,1999,7.3,79,176791,73.0
70,The World Is Not Enough,1999,6.4,57,173661,64.0
71,Cruel Intentions,1999,6.8,56,165842,68.0
72,The Talented Mr. Ripley,1999,7.4,76,158802,74.0
73,The Iron Giant,1999,8.0,85,153798,80.0
74,The Ninth Gate,1999,6.7,44,152073,67.0
75,Three Kings,1999,7.1,82,151109,71.0
76,The Insider,1999,7.9,84,147833,79.0
77,"Girl, Interrupted",1999,7.4,51,144559,74.0
78,Wild Wild West,1999,4.9,38,142825,49.0
79,The Bone Collector,1999,6.7,45,139181,67.0
80,Galaxy Quest,1999,7.3,70,136410,73.0
81,Analyze This,1999,6.7,61,136390,67.0
82,The Virgin Suicides,1999,7.2,76,132424,72.0
83,Payback,1999,7.1,46,123375,71.0
84,Man on the Moon,1999,7.4,58,115125,74.0
85,8MM,1999,6.5,19,114523,65.0
86,Deep Blue Sea,1999,5.8,54,113820,58.0
87,Stuart Little,1999,5.9,61,112301,59.0
88,The 13th Warrior,1999,6.6,42,109603,66.0
89,Any Given Sunday,1999,6.9,52,105556,69.0
90,Bicentennial Man,1999,6.9,42,100697,69.0
91,Entrapment,1999,6.3,54,99047,63.0
92,End of Days,1999,5.7,33,98794,57.0
93,The Cider House Rules,1999,7.4,75,87183,74.0
94,Fight Club,1999,8.8,66,1637845,88.0
95,The Matrix,1999,8.7,73,1469235,87.0
96,The Green Mile,1999,8.5,61,984611,85.0
97,American Beauty,1999,8.4,86,972401,84.0
98,The Sixth Sense,1999,8.1,64,829214,81.0
99,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,640660,65.0
100,Toy Story 2,1999,7.9,88,457713,79.0
101,The Mummy,1999,7.0,48,361179,70.0
102,American Pie,1999,7.0,58,347217,70.0
103,Sleepy Hollow,1999,7.4,65,301658,74.0
104,Being John Malkovich,1999,7.8,90,285177,78.0
105,Eyes Wide Shut,1999,7.4,68,267429,74.0
106,Magnolia,1999,8.0,77,266601,80.0
107,10 Things I Hate About You,1999,7.3,70,263771,73.0
108,Notting Hill,1999,7.1,66,239699,71.0
109,Office Space,1999,7.8,68,223410,78.0
110,The Boondock Saints,1999,7.8,44,214998,78.0
111,The Blair Witch Project,1999,6.4,81,213704,64.0
112,Austin Powers: The Spy Who Shagged Me,1999,6.6,59,200898,66.0
113,Dogma,1999,7.3,62,196355,73.0
114,Big Daddy,1999,6.4,41,182201,64.0
115,"South Park: Bigger, Longer & Uncut",1999,7.8,73,179759,78.0
116,Tarzan,1999,7.3,79,176791,73.0
117,The World Is Not Enough,1999,6.4,57,173661,64.0
118,Cruel Intentions,1999,6.8,56,165842,68.0
119,The Talented Mr. Ripley,1999,7.4,76,158802,74.0
120,The Iron Giant,1999,8.0,85,153798,80.0
121,The Ninth Gate,1999,6.7,44,152073,67.0
122,Three Kings,1999,7.1,82,151109,71.0
123,The Insider,1999,7.9,84,147833,79.0
124,"Girl, Interrupted",1999,7.4,51,144559,74.0
125,Wild Wild West,1999,4.9,38,142825,49.0
126,The Bone Collector,1999,6.7,45,139181,67.0
127,Galaxy Quest,1999,7.3,70,136410,73.0
128,Analyze This,1999,6.7,61,136390,67.0
129,The Virgin Suicides,1999,7.2,76,132424,72.0
130,Payback,1999,7.1,46,123375,71.0
131,Man on the Moon,1999,7.4,58,115125,74.0
132,8MM,1999,6.5,19,114523,65.0
133,Deep Blue Sea,1999,5.8,54,113820,58.0
134,Stuart Little,1999,5.9,61,112301,59.0
135,The 13th Warrior,1999,6.6,42,109603,66.0
136,Any Given Sunday,1999,6.9,52,105556,69.0
137,Bicentennial Man,1999,6.9,42,100697,69.0
138,Entrapment,1999,6.3,54,99047,63.0
139,End of Days,1999,5.7,33,98794,57.0
140,The Cider House Rules,1999,7.4,75,87183,74.0
141,Fight Club,1999,8.8,66,1637845,88.0
142,The Matrix,1999,8.7,73,1469235,87.0
143,The Green Mile,1999,8.5,61,984611,85.0
144,American Beauty,1999,8.4,86,972401,84.0
145,The Sixth Sense,1999,8.1,64,829214,81.0
146,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,640660,65.0
147,Toy Story 2,1999,7.9,88,457713,79.0
148,The Mummy,1999,7.0,48,361179,70.0
149,American Pie,1999,7.0,58,347217,70.0
150,Sleepy Hollow,1999,7.4,65,301658,74.0
151,Being John Malkovich,1999,7.8,90,285177,78.0
152,Eyes Wide Shut,1999,7.4,68,267429,74.0
153,Magnolia,1999,8.0,77,266601,80.0
154,10 Things I Hate About You,1999,7.3,70,263771,73.0
155,Notting Hill,1999,7.1,66,239699,71.0
156,Office Space,1999,7.8,68,223410,78.0
157,The Boondock Saints,1999,7.8,44,214998,78.0
158,The Blair Witch Project,1999,6.4,81,213704,64.0
159,Austin Powers: The Spy Who Shagged Me,1999,6.6,59,200898,66.0
160,Dogma,1999,7.3,62,196355,73.0
161,Big Daddy,1999,6.4,41,182201,64.0
162,"South Park: Bigger, Longer & Uncut",1999,7.8,73,179759,78.0
163,Tarzan,1999,7.3,79,176791,73.0
164,The World Is Not Enough,1999,6.4,57,173661,64.0
165,Cruel Intentions,1999,6.8,56,165842,68.0
166,The Talented Mr. Ripley,1999,7.4,76,158802,74.0
167,The Iron Giant,1999,8.0,85,153798,80.0
168,The Ninth Gate,1999,6.7,44,152073,67.0
169,Three Kings,1999,7.1,82,151109,71.0
170,The Insider,1999,7.9,84,147833,79.0
171,"Girl, Interrupted",1999,7.4,51,144559,74.0
172,Wild Wild West,1999,4.9,38,142825,49.0
173,The Bone Collector,1999,6.7,45,139181,67.0
174,Galaxy Quest,1999,7.3,70,136410,73.0
175,Analyze This,1999,6.7,61,136390,67.0
176,The Virgin Suicides,1999,7.2,76,132424,72.0
177,Payback,1999,7.1,46,123375,71.0
178,Man on the Moon,1999,7.4,58,115125,74.0
179,8MM,1999,6.5,19,114523,65.0
180,Deep Blue Sea,1999,5.8,54,113820,58.0
181,Stuart Little,1999,5.9,61,112301,59.0
182,The 13th Warrior,1999,6.6,42,109603,66.0
183,Any Given Sunday,1999,6.9,52,105556,69.0
184,Bicentennial Man,1999,6.9,42,100697,69.0
185,Entrapment,1999,6.3,54,99047,63.0
186,End of Days,1999,5.7,33,98794,57.0
187,The Cider House Rules,1999,7.4,75,87183,74.0
188,Fight Club,1999,8.8,66,1637845,88.0
189,The Matrix,1999,8.7,73,1469235,87.0
190,The Green Mile,1999,8.5,61,984611,85.0
191,American Beauty,1999,8.4,86,972401,84.0
192,The Sixth Sense,1999,8.1,64,829214,81.0
193,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,640660,65.0
194,Toy Story 2,1999,7.9,88,457713,79.0
195,The Mummy,1999,7.0,48,361179,70.0
196,American Pie,1999,7.0,58,347217,70.0
197,Sleepy Hollow,1999,7.4,65,301658,74.0
198,Being John Malkovich,1999,7.8,90,285177,78.0
199,Eyes Wide Shut,1999,7.4,68,267429,74.0
200,Magnolia,1999,8.0,77,266601,80.0
201,10 Things I Hate About You,1999,7.3,70,263771,73.0
202,Notting Hill,1999,7.1,66,239699,71.0
203,Office Space,1999,7.8,68,223410,78.0
204,The Boondock Saints,1999,7.8,44,214998,78.0
205,The Blair Witch Project,1999,6.4,81,213704,64.0
206,Austin Powers: The Spy Who Shagged Me,1999,6.6,59,200898,66.0
207,Dogma,1999,7.3,62,196355,73.0
208,Big Daddy,1999,6.4,41,182201,64.0
209,"South Park: Bigger, Longer & Uncut",1999,7.8,73,179759,78.0
210,Tarzan,1999,7.3,79,176791,73.0
211,The World Is Not Enough,1999,6.4,57,173661,64.0
212,Cruel Intentions,1999,6.8,56,165842,68.0
213,The Talented Mr. Ripley,1999,7.4,76,158802,74.0
214,The Iron Giant,1999,8.0,85,153798,80.0
215,The Ninth Gate,1999,6.7,44,152073,67.0
216,Three Kings,1999,7.1,82,151109,71.0
217,The Insider,1999,7.9,84,147833,79.0
218,"Girl, Interrupted",1999,7.4,51,144559,74.0
219,Wild Wild West,1999,4.9,38,142825,49.0
220,The Bone Collector,1999,6.7,45,139181,67.0
221,Galaxy Quest,1999,7.3,70,136410,73.0
222,Analyze This,1999,6.7,61,136390,67.0
223,The Virgin Suicides,1999,7.2,76,132424,72.0
224,Payback,1999,7.1,46,123375,71.0
225,Man on the Moon,1999,7.4,58,115125,74.0
226,8MM,1999,6.5,19,114523,65.0
227,Deep Blue Sea,1999,5.8,54,113820,58.0
228,Stuart Little,1999,5.9,61,112301,59.0
229,The 13th Warrior,1999,6.6,42,109603,66.0
230,Any Given Sunday,1999,6.9,52,105556,69.0
231,Bicentennial Man,1999,6.9,42,100697,69.0
232,Entrapment,1999,6.3,54,99047,63.0
233,End of Days,1999,5.7,33,98794,57.0
234,The Cider House Rules,1999,7.4,75,87183,74.0
235,Gladiator,2000,8.5,67,1183593,85.0
236,Memento,2000,8.5,80,1011491,85.0
237,Snatch,2000,8.3,55,705443,83.0
238,Requiem for a Dream,2000,8.3,68,686389,83.0
239,X-Men,2000,7.4,64,525036,74.0
240,Cast Away,2000,7.8,73,463803,78.0
241,American Psycho,2000,7.6,64,421208,76.0
242,Unbreakable,2000,7.3,62,328703,73.0
243,Meet the Parents,2000,7.0,73,289577,70.0
244,Mission: Impossible II,2000,6.1,59,285584,61.0
245,"O Brother, Where Art Thou?",2000,7.8,69,260411,78.0
246,Gone in Sixty Seconds,2000,6.5,35,242687,65.0
247,"Crouching Tiger, Hidden Dragon",2000,7.9,93,237155,79.0
248,The Patriot,2000,7.2,63,233883,72.0
249,Almost Famous,2000,7.9,90,232006,79.0
250,Pitch Black,2000,7.1,49,211929,71.0
251,Scary Movie,2000,6.2,48,211558,62.0
252,"Me, Myself & Irene",2000,6.6,49,207125,66.0
253,Final Destination,2000,6.7,36,206894,67.0
254,The Beach,2000,6.6,43,204769,66.0
255,Amores Perros,2000,8.1,83,204021,81.0
256,Traffic,2000,7.6,86,184394,76.0
257,Remember the Titans,2000,7.8,48,181707,78.0
258,How the Grinch Stole Christmas,2000,6.1,46,180541,61.0
259,What Women Want,2000,6.4,47,177947,64.0
260,Chocolat,2000,7.3,64,166442,73.0
261,Miss Congeniality,2000,6.2,43,165419,62.0
262,Chicken Run,2000,7.0,88,160910,70.0
263,Charlie's Angels,2000,5.5,52,160824,55.0
264,Battle Royale,2000,7.7,81,157304,77.0
265,High Fidelity,2000,7.5,79,156782,75.0
266,The Emperor's New Groove,2000,7.3,70,156334,73.0
267,Erin Brockovich,2000,7.3,73,155870,73.0
268,Road Trip,2000,6.5,55,146722,65.0
269,The Perfect Storm,2000,6.4,59,145285,64.0
270,"Dude, Where's My Car?",2000,5.5,30,127345,55.0
271,Hollow Man,2000,5.7,24,113308,57.0
272,Scream 3,2000,5.6,56,112544,56.0
273,Billy Elliot,2000,7.7,74,112199,77.0
274,Shanghai Noon,2000,6.6,77,110124,66.0
275,The 6th Day,2000,5.9,49,109275,59.0
276,What Lies Beneath,2000,6.6,51,108875,66.0
277,Pay It Forward,2000,7.2,40,106177,72.0
278,In the Mood for Love,2000,8.1,85,102573,81.0
279,The Whole Nine Yards,2000,6.7,47,101075,67.0
280,Coyote Ugly,2000,5.7,27,99696,57.0
281,Men of Honor,2000,7.2,56,99661,72.0
282,The Family Man,2000,6.8,42,96138,68.0
283,Frequency,2000,7.4,67,93239,74.0
284,Gladiator,2000,8.5,67,1183593,85.0
285,Memento,2000,8.5,80,1011491,85.0
286,Snatch,2000,8.3,55,705443,83.0
287,Requiem for a Dream,2000,8.3,68,686389,83.0
288,X-Men,2000,7.4,64,525036,74.0
289,Cast Away,2000,7.8,73,463803,78.0
290,American Psycho,2000,7.6,64,421208,76.0
291,Unbreakable,2000,7.3,62,328703,73.0
292,Meet the Parents,2000,7.0,73,289577,70.0
293,Mission: Impossible II,2000,6.1,59,285584,61.0
294,"O Brother, Where Art Thou?",2000,7.8,69,260411,78.0
295,Gone in Sixty Seconds,2000,6.5,35,242687,65.0
296,"Crouching Tiger, Hidden Dragon",2000,7.9,93,237155,79.0
297,The Patriot,2000,7.2,63,233883,72.0
298,Almost Famous,2000,7.9,90,232006,79.0
299,Pitch Black,2000,7.1,49,211929,71.0
300,Scary Movie,2000,6.2,48,211558,62.0
301,"Me, Myself & Irene",2000,6.6,49,207125,66.0
302,Final Destination,2000,6.7,36,206894,67.0
303,The Beach,2000,6.6,43,204769,66.0
304,Amores Perros,2000,8.1,83,204021,81.0
305,Traffic,2000,7.6,86,184394,76.0
306,Remember the Titans,2000,7.8,48,181707,78.0
307,How the Grinch Stole Christmas,2000,6.1,46,180541,61.0
308,What Women Want,2000,6.4,47,177947,64.0
309,Chocolat,2000,7.3,64,166442,73.0
310,Miss Congeniality,2000,6.2,43,165419,62.0
311,Chicken Run,2000,7.0,88,160910,70.0
312,Charlie's Angels,2000,5.5,52,160824,55.0
313,Battle Royale,2000,7.7,81,157304,77.0
314,High Fidelity,2000,7.5,79,156782,75.0
315,The Emperor's New Groove,2000,7.3,70,156334,73.0
316,Erin Brockovich,2000,7.3,73,155870,73.0
317,Road Trip,2000,6.5,55,146722,65.0
318,The Perfect Storm,2000,6.4,59,145285,64.0
319,"Dude, Where's My Car?",2000,5.5,30,127345,55.0
320,Hollow Man,2000,5.7,24,113308,57.0
321,Scream 3,2000,5.6,56,112544,56.0
322,Billy Elliot,2000,7.7,74,112199,77.0
323,Shanghai Noon,2000,6.6,77,110124,66.0
324,The 6th Day,2000,5.9,49,109275,59.0
325,What Lies Beneath,2000,6.6,51,108875,66.0
326,Pay It Forward,2000,7.2,40,106177,72.0
327,In the Mood for Love,2000,8.1,85,102573,81.0
328,The Whole Nine Yards,2000,6.7,47,101075,67.0
329,Coyote Ugly,2000,5.7,27,99696,57.0
330,Men of Honor,2000,7.2,56,99661,72.0
331,The Family Man,2000,6.8,42,96138,68.0
332,Frequency,2000,7.4,67,93239,74.0
333,Gladiator,2000,8.5,67,1183593,85.0
334,Memento,2000,8.5,80,1011491,85.0
335,Snatch,2000,8.3,55,705443,83.0
336,Requiem for a Dream,2000,8.3,68,686389,83.0
337,X-Men,2000,7.4,64,525036,74.0
338,Cast Away,2000,7.8,73,463803,78.0
339,American Psycho,2000,7.6,64,421208,76.0
340,Unbreakable,2000,7.3,62,328703,73.0
341,Meet the Parents,2000,7.0,73,289577,70.0
342,Mission: Impossible II,2000,6.1,59,285584,61.0
343,"O Brother, Where Art Thou?",2000,7.8,69,260411,78.0
344,Gone in Sixty Seconds,2000,6.5,35,242687,65.0
345,"Crouching Tiger, Hidden Dragon",2000,7.9,93,237155,79.0
346,The Patriot,2000,7.2,63,233883,72.0
347,Almost Famous,2000,7.9,90,232006,79.0
348,Pitch Black,2000,7.1,49,211929,71.0
349,Scary Movie,2000,6.2,48,211558,62.0
350,"Me, Myself & Irene",2000,6.6,49,207125,66.0
351,Final Destination,2000,6.7,36,206894,67.0
352,The Beach,2000,6.6,43,204769,66.0
353,Amores Perros,2000,8.1,83,204021,81.0
354,Traffic,2000,7.6,86,184394,76.0
355,Remember the Titans,2000,7.8,48,181707,78.0
356,How the Grinch Stole Christmas,2000,6.1,46,180541,61.0
357,What Women Want,2000,6.4,47,177947,64.0
358,Chocolat,2000,7.3,64,166442,73.0
359,Miss Congeniality,2000,6.2,43,165419,62.0
360,Chicken Run,2000,7.0,88,160910,70.0
361,Charlie's Angels,2000,5.5,52,160824,55.0
362,Battle Royale,2000,7.7,81,157304,77.0
363,High Fidelity,2000,7.5,79,156782,75.0
364,The Emperor's New Groove,2000,7.3,70,156334,73.0
365,Erin Brockovich,2000,7.3,73,155870,73.0
366,Road Trip,2000,6.5,55,146722,65.0
367,The Perfect Storm,2000,6.4,59,145285,64.0
368,"Dude, Where's My Car?",2000,5.5,30,127345,55.0
369,Hollow Man,2000,5.7,24,113308,57.0
370,Scream 3,2000,5.6,56,112544,56.0
371,Billy Elliot,2000,7.7,74,112199,77.0
372,Shanghai Noon,2000,6.6,77,110124,66.0
373,The 6th Day,2000,5.9,49,109275,59.0
374,What Lies Beneath,2000,6.6,51,108875,66.0
375,Pay It Forward,2000,7.2,40,106177,72.0
376,In the Mood for Love,2000,8.1,85,102573,81.0
377,The Whole Nine Yards,2000,6.7,47,101075,67.0
378,Coyote Ugly,2000,5.7,27,99696,57.0
379,Men of Honor,2000,7.2,56,99661,72.0
380,The Family Man,2000,6.8,42,96138,68.0
381,Frequency,2000,7.4,67,93239,74.0
382,Gladiator,2000,8.5,67,1183593,85.0
383,Memento,2000,8.5,80,1011491,85.0
384,Snatch,2000,8.3,55,705443,83.0
385,Requiem for a Dream,2000,8.3,68,686389,83.0
386,X-Men,2000,7.4,64,525036,74.0
387,Cast Away,2000,7.8,73,463803,78.0
388,American Psycho,2000,7.6,64,421208,76.0
389,Unbreakable,2000,7.3,62,328703,73.0
390,Meet the Parents,2000,7.0,73,289577,70.0
391,Mission: Impossible II,2000,6.1,59,285584,61.0
392,"O Brother, Where Art Thou?",2000,7.8,69,260411,78.0
393,Gone in Sixty Seconds,2000,6.5,35,242687,65.0
394,"Crouching Tiger, Hidden Dragon",2000,7.9,93,237155,79.0
395,The Patriot,2000,7.2,63,233883,72.0
396,Almost Famous,2000,7.9,90,232006,79.0
397,Pitch Black,2000,7.1,49,211929,71.0
398,Scary Movie,2000,6.2,48,211558,62.0
399,"Me, Myself & Irene",2000,6.6,49,207125,66.0
400,Final Destination,2000,6.7,36,206894,67.0
401,The Beach,2000,6.6,43,204769,66.0
402,Amores Perros,2000,8.1,83,204021,81.0
403,Traffic,2000,7.6,86,184394,76.0
404,Remember the Titans,2000,7.8,48,181707,78.0
405,How the Grinch Stole Christmas,2000,6.1,46,180541,61.0
406,What Women Want,2000,6.4,47,177947,64.0
407,Chocolat,2000,7.3,64,166442,73.0
408,Miss Congeniality,2000,6.2,43,165419,62.0
409,Chicken Run,2000,7.0,88,160910,70.0
410,Charlie's Angels,2000,5.5,52,160824,55.0
411,Battle Royale,2000,7.7,81,157304,77.0
412,High Fidelity,2000,7.5,79,156782,75.0
413,The Emperor's New Groove,2000,7.3,70,156334,73.0
414,Erin Brockovich,2000,7.3,73,155870,73.0
415,Road Trip,2000,6.5,55,146722,65.0
416,The Perfect Storm,2000,6.4,59,145285,64.0
417,"Dude, Where's My Car?",2000,5.5,30,127345,55.0
418,Hollow Man,2000,5.7,24,113308,57.0
419,Scream 3,2000,5.6,56,112544,56.0
420,Billy Elliot,2000,7.7,74,112199,77.0
421,Shanghai Noon,2000,6.6,77,110124,66.0
422,The 6th Day,2000,5.9,49,109275,59.0
423,What Lies Beneath,2000,6.6,51,108875,66.0
424,Pay It Forward,2000,7.2,40,106177,72.0
425,In the Mood for Love,2000,8.1,85,102573,81.0
426,The Whole Nine Yards,2000,6.7,47,101075,67.0
427,Coyote Ugly,2000,5.7,27,99696,57.0
428,Men of Honor,2000,7.2,56,99661,72.0
429,The Family Man,2000,6.8,42,96138,68.0
430,Frequency,2000,7.4,67,93239,74.0
431,Gladiator,2000,8.5,67,1183593,85.0
432,Memento,2000,8.5,80,1011491,85.0
433,Snatch,2000,8.3,55,705443,83.0
434,Requiem for a Dream,2000,8.3,68,686389,83.0
435,X-Men,2000,7.4,64,525036,74.0
436,Cast Away,2000,7.8,73,463803,78.0
437,American Psycho,2000,7.6,64,421208,76.0
438,Unbreakable,2000,7.3,62,328703,73.0
439,Meet the Parents,2000,7.0,73,289577,70.0
440,Mission: Impossible II,2000,6.1,59,285584,61.0
441,"O Brother, Where Art Thou?",2000,7.8,69,260411,78.0
442,Gone in Sixty Seconds,2000,6.5,35,242687,65.0
443,"Crouching Tiger, Hidden Dragon",2000,7.9,93,237155,79.0
444,The Patriot,2000,7.2,63,233883,72.0
445,Almost Famous,2000,7.9,90,232006,79.0
446,Pitch Black,2000,7.1,49,211929,71.0
447,Scary Movie,2000,6.2,48,211558,62.0
448,"Me, Myself & Irene",2000,6.6,49,207125,66.0
449,Final Destination,2000,6.7,36,206894,67.0
450,The Beach,2000,6.6,43,204769,66.0
451,Amores Perros,2000,8.1,83,204021,81.0
452,Traffic,2000,7.6,86,184394,76.0
453,Remember the Titans,2000,7.8,48,181707,78.0
454,How the Grinch Stole Christmas,2000,6.1,46,180541,61.0
455,What Women Want,2000,6.4,47,177947,64.0
456,Chocolat,2000,7.3,64,166442,73.0
457,Miss Congeniality,2000,6.2,43,165419,62.0
458,Chicken Run,2000,7.0,88,160910,70.0
459,Charlie's Angels,2000,5.5,52,160824,55.0
460,Battle Royale,2000,7.7,81,157304,77.0
461,High Fidelity,2000,7.5,79,156782,75.0
462,The Emperor's New Groove,2000,7.3,70,156334,73.0
463,Erin Brockovich,2000,7.3,73,155870,73.0
464,Road Trip,2000,6.5,55,146722,65.0
465,The Perfect Storm,2000,6.4,59,145285,64.0
466,"Dude, Where's My Car?",2000,5.5,30,127345,55.0
467,Hollow Man,2000,5.7,24,113308,57.0
468,Scream 3,2000,5.6,56,112544,56.0
469,Billy Elliot,2000,7.7,74,112199,77.0
470,Shanghai Noon,2000,6.6,77,110124,66.0
471,The 6th Day,2000,5.9,49,109275,59.0
472,What Lies Beneath,2000,6.6,51,108875,66.0
473,Pay It Forward,2000,7.2,40,106177,72.0
474,In the Mood for Love,2000,8.1,85,102573,81.0
475,The Whole Nine Yards,2000,6.7,47,101075,67.0
476,Coyote Ugly,2000,5.7,27,99696,57.0
477,Men of Honor,2000,7.2,56,99661,72.0
478,The Family Man,2000,6.8,42,96138,68.0
479,Frequency,2000,7.4,67,93239,74.0
480,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1473834,88.0
481,A Beautiful Mind,2001,8.2,72,754188,82.0
482,"Monsters, Inc.",2001,8.1,78,721406,81.0
483,Donnie Darko,2001,8.1,88,686457,81.0
484,Amélie,2001,8.3,69,639663,83.0
485,Harry Potter and the Sorcerer's Stone,2001,7.6,64,556828,76.0
486,Shrek,2001,7.9,84,548850,79.0
487,Spirited Away,2001,8.6,96,540556,86.0
488,Ocean's Eleven,2001,7.8,74,466704,78.0
489,Training Day,2001,7.7,69,351047,77.0
490,Black Hawk Down,2001,7.7,74,333875,77.0
491,The Fast and the Furious,2001,6.8,58,314819,68.0
492,The Others,2001,7.6,74,308957,76.0
493,Pearl Harbor,2001,6.1,44,289092,61.0
494,Mulholland Drive,2001,8.0,83,285691,80.0
495,The Mummy Returns,2001,6.4,48,279943,64.0
496,A.I. Artificial Intelligence,2001,7.1,65,270838,71.0
497,Jurassic Park III,2001,5.9,42,266285,59.0
498,Moulin Rouge!,2001,7.6,66,248865,76.0
499,The Royal Tenenbaums,2001,7.6,76,242071,76.0
500,Hannibal,2001,6.8,57,233491,68.0
501,Vanilla Sky,2001,6.9,45,231332,69.0
502,Zoolander,2001,6.6,61,227818,66.0
503,American Pie 2,2001,6.4,43,221963,64.0
504,Blow,2001,7.6,52,220959,76.0
505,Enemy at the Gates,2001,7.6,53,220585,76.0
506,Bridget Jones's Diary,2001,6.7,66,202633,67.0
507,Planet of the Apes,2001,5.7,50,199442,57.0
508,Lara Croft: Tomb Raider,2001,5.8,33,182705,58.0
509,Rush Hour 2,2001,6.6,48,182503,66.0
510,Swordfish,2001,6.5,32,167525,65.0
511,K-PAX,2001,7.4,49,165625,74.0
512,Legally Blonde,2001,6.3,59,160071,63.0
513,A Knight's Tale,2001,6.9,56,155043,69.0
514,Jay and Silent Bob Strike Back,2001,6.9,51,139647,69.0
515,From Hell,2001,6.8,54,137897,68.0
516,Scary Movie 2,2001,5.3,29,136204,53.0
517,I Am Sam,2001,7.6,28,134294,76.0
518,Spy Game,2001,7.1,63,133659,71.0
519,Shallow Hal,2001,5.9,48,119731,59.0
520,The Princess Diaries,2001,6.3,52,113846,63.0
521,The Score,2001,6.8,71,111914,68.0
522,Evolution,2001,6.1,40,111335,61.0
523,Ghost World,2001,7.4,88,105822,74.0
524,Y Tu Mamá También,2001,7.7,88,105185,77.0
525,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1473834,88.0
526,A Beautiful Mind,2001,8.2,72,754188,82.0
527,"Monsters, Inc.",2001,8.1,78,721406,81.0
